ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS;;;;
;são josé dos campos;jacareí;taubaté;
janeiro;17;6;0;
fevereiro;22;3;0;
março;7;0;0;
abril;0;0;0;
maio;0;0;0;
junho;0;0;0;
julho;0;10;2;
agosto;0;8;0;
setembro;0;9;0;
outubro;0;8;0;
novembro;0;2;1;
dezembro;0;0;1;
;;;;
;;;;
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS;;;;
;são josé dos campos;jacareí;taubaté;
janeiro;53;60;64;
fevereiro;55;39;6;
março;39;38;16;
abril;16;5;2;
maio;50;0;5;
junho;102;3;5;
julho;26;14;6;
agosto;40;13;5;
setembro;45;9;4;
outubro;44;24;32;
novembro;61;33;14;
dezembro;61;19;7;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
