ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS;;;;
;são josé dos campos;jacareí;taubaté;
janeiro;0;0;1;
fevereiro;0;0;3;
março;0;0;0;
abril;0;3;0;
maio;0;10;0;
junho;0;17;1;
julho;0;25;0;
agosto;10;22;0;
setembro;30;31;0;
outubro;0;72;0;
novembro;1;57;0;
dezembro;20;27;20;
;;;;
;;;;
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS;;;;
;são josé dos campos;jacareí;taubaté;
janeiro;131;30;5;
fevereiro;28;28;11;
março;103;10;6;
abril;127;21;0;
maio;129;33;0;
junho;75;49;11;
julho;143;52;12;
agosto;202;93;21;
setembro;99;115;18;
outubro;128;47;11;
novembro;151;41;10;
dezembro;62;11;0;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
