ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO COM COMPLICAÇÕES SISTÊMICAS;;;;
;são josé dos campos;jacareí;taubaté;
janeiro;20;10;0;
fevereiro;37;17;0;
março;78;9;0;
abril;16;9;0;
maio;28;26;0;
junho;43;21;0;
julho;0;12;1;
agosto;60;8;1;
setembro;18;17;2;
outubro;48;3;1;
novembro;20;2;0;
dezembro;10;10;0;
;;;;
;;;;
ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO RESPIRATÓRIO SEM COMPLICAÇÕES SISTÊMICAS;;;;
;são josé dos campos;jacareí;taubaté;
janeiro;45;13;67;
fevereiro;52;12;55;
março;57;31;29;
abril;10;47;75;
maio;58;18;86;
junho;23;6;30;
julho;32;24;108;
agosto;0;29;86;
setembro;21;15;65;
outubro;40;16;85;
novembro;39;38;42;
dezembro;47;34;74;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
