 Morbidade Hospitalar do SUS - por local de internação - São Paulo;
Internações por Ano/mês atendimento;
Município: 352440 JACAREI;
Período:2019-2022;
Ano/mês atendimento;Internações
2018;181
..Outubro/2018;3
..Novembro/2018;9
..Dezembro/2018;169
2019;12856
..Janeiro/2019;1071
..Fevereiro/2019;983
..Março/2019;1092
..Abril/2019;1099
..Maio/2019;1178
..Junho/2019;1053
..Julho/2019;1079
..Agosto/2019;1061
..Setembro/2019;1082
..Outubro/2019;1163
..Novembro/2019;989
..Dezembro/2019;1006
2020;11784
..Janeiro/2020;1006
..Fevereiro/2020;985
..Março/2020;978
..Abril/2020;817
..Maio/2020;884
..Junho/2020;975
..Julho/2020;1099
..Agosto/2020;1045
..Setembro/2020;986
..Outubro/2020;1015
..Novembro/2020;977
..Dezembro/2020;1017
2021;12814
  Janeiro/2021;1066
  Fevereiro/2021;1059
  Março/2021;1131
  Abril/2021;954
  Maio/2021;1186
  Junho/2021;1031
  Julho/2021;1030
  Agosto/2021;1069
  Setembro/2021;993
  Outubro/2021;1067
  Novembro/2021;1068
  Dezembro/2021;1160
2022;13153
..Janeiro/2022;1060
..Fevereiro/2022;971
..Março/2022;1160
..Abril/2022;1086
..Maio/2022;1202
..Junho/2022;1113
..Julho/2022;1158
..Agosto/2022;1226
..Setembro/2022;1166
..Outubro/2022;1153
..Novembro/2022;1051
..Dezembro/2022;807
Total;50788
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS);
 Notas:;
 ;
 Situação da base de dados nacional em 29/04/2016.;
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.;
 ;
 Consulte o site da Secretaria Estadual de Saúde para mais informações.;
