 Procedimentos hospitalares do SUS - por local de internação - São Paulo;
AIH aprovadas por Ano/mês atendimento;
Município: 355410 TAUBATE;
Subgrupo proced.: 0412 Cirurgia torácica;
Período:2019-2022;
Ano/mês atendimento;AIH_aprovadas
2018;5
..Dezembro/2018;5
2019;143
..Janeiro/2019;6
..Fevereiro/2019;13
..Março/2019;8
..Abril/2019;11
..Maio/2019;14
..Junho/2019;12
..Julho/2019;16
..Agosto/2019;17
..Setembro/2019;10
..Outubro/2019;19
..Novembro/2019;5
..Dezembro/2019;12
2020;170
..Janeiro/2020;19
..Fevereiro/2020;13
..Março/2020;13
..Abril/2020;14
..Maio/2020;11
..Junho/2020;9
..Julho/2020;9
..Agosto/2020;18
..Setembro/2020;17
..Outubro/2020;19
..Novembro/2020;17
..Dezembro/2020;11
2021;235
  Janeiro/2021;17
  Fevereiro/2021;22
  Março/2021;25
  Abril/2021;18
  Maio/2021;31
  Junho/2021;22
  Julho/2021;20
  Agosto/2021;16
  Setembro/2021;18
  Outubro/2021;17
  Novembro/2021;14
  Dezembro/2021;15
2022;252
..Janeiro/2022;19
..Fevereiro/2022;21
..Março/2022;31
..Abril/2022;33
..Maio/2022;18
..Junho/2022;21
..Julho/2022;25
..Agosto/2022;16
..Setembro/2022;16
..Outubro/2022;18
..Novembro/2022;23
..Dezembro/2022;11
Total;805
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS);
 Notas:;
 ;
 Dados referentes aos últimos seis meses, sujeitos a  atualização.;
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:;
      ;
"      Até maio de 2012 estas informações estão disponíveis como ""Natureza"" e ""Esfera Administrativa"".";
"      De junho de 2012 a outubro de 2015, estão disponíveis tanto como ""Natureza"" e ""Esfera Administrativa"", como ""Natureza Jurídica"" e ""Esfera Jurídica"".";
"      A partir de novembro de 2015, estão disponíveis como ""Natureza Jurídica"" e ""Esfera Jurídica"".";
      ;
 ;
 Consulte o site da Secretaria Estadual de Saúde para mais informações.;
