 Procedimentos hospitalares do SUS - por local de internação - São Paulo;
AIH aprovadas por Ano/mês atendimento;
Município: 354990 SAO JOSE DOS CAMPOS;
Subgrupo proced.: 0412 Cirurgia torácica;
Período:2019-2022;
Ano/mês atendimento;AIH_aprovadas
2018;4
..Novembro/2018;2
..Dezembro/2018;2
2019;144
..Janeiro/2019;14
..Fevereiro/2019;13
..Março/2019;12
..Abril/2019;20
..Maio/2019;11
..Junho/2019;10
..Julho/2019;13
..Agosto/2019;14
..Setembro/2019;10
..Outubro/2019;12
..Novembro/2019;5
..Dezembro/2019;10
2020;125
..Janeiro/2020;12
..Fevereiro/2020;10
..Março/2020;17
..Abril/2020;10
..Maio/2020;10
..Junho/2020;6
..Julho/2020;13
..Agosto/2020;14
..Setembro/2020;9
..Outubro/2020;5
..Novembro/2020;9
..Dezembro/2020;10
2021;114
  Janeiro/2021;5
  Fevereiro/2021;6
  Março/2021;8
  Abril/2021;15
  Maio/2021;12
  Junho/2021;9
  Julho/2021;8
  Agosto/2021;10
  Setembro/2021;10
  Outubro/2021;7
  Novembro/2021;10
  Dezembro/2021;14
2022;133
..Janeiro/2022;12
..Fevereiro/2022;8
..Março/2022;9
..Abril/2022;12
..Maio/2022;15
..Junho/2022;17
..Julho/2022;14
..Agosto/2022;12
..Setembro/2022;6
..Outubro/2022;13
..Novembro/2022;7
..Dezembro/2022;8
Total;520
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS);
 Notas:;
 ;
 Dados referentes aos últimos seis meses, sujeitos a  atualização.;
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:;
      ;
"      Até maio de 2012 estas informações estão disponíveis como ""Natureza"" e ""Esfera Administrativa"".";
"      De junho de 2012 a outubro de 2015, estão disponíveis tanto como ""Natureza"" e ""Esfera Administrativa"", como ""Natureza Jurídica"" e ""Esfera Jurídica"".";
"      A partir de novembro de 2015, estão disponíveis como ""Natureza Jurídica"" e ""Esfera Jurídica"".";
      ;
 ;
 Consulte o site da Secretaria Estadual de Saúde para mais informações.;
